Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
coleto-603-violin-viola-cello-rosin,Coleto No. 603 Violin/Viola/Cello Rosin — Austrian Formula,"<p>A Coleto No. 603 bow rosin for violin, viola, or cello, made by the Leto Musical Instrument Co. using a formula from Austria. Note: only the product label is visible in the reference photo, not the rosin cake itself.</p><ul>
<li>Brand: Coleto (Leto Musical Instrument Co.), model No. 603</li>
<li>For violin, viola, and cello bows</li>
<li>Labeled ""Formula from Austria""</li>
</ul>",Coleto,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Rosin,"Cases & Care, Strings & Accessories, accessory, cello rosin, Coleto, Leto, rosin, viola rosin, violin rosin",true,Title,Default Title,,,,,STR-26,60,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/STR-26-01.jpg,1,Coleto No. 603 Violin/Viola/Cello Rosin — Austrian Formula — Bob Music Store,false,Coleto No. 603 Violin/Viola/Cello Rosin — Austrian Formula,"A Coleto No. 603 bow rosin for violin, viola, or cello, made by the Leto Musical Instrument Co — Bob Music Store, Beirut.",g,active
orchestral-music-stand-wire-frame-desk,"Orchestral Music Stand — Black Wire-Frame Desk, Lyre Clip","<p>A full-size folding orchestral music stand in matte black metal, with an open wire-frame/lattice desk and a lyre-shaped cutout at the top clip — a lighter-weight design than a solid-desk stand. Folds compactly and extends to approximately 4ft.</p><ul>
<li>Open wire-frame/lattice desk design</li>
<li>Lyre-shaped cutout at the top clip</li>
<li>Lightweight, folding construction</li>
<li>Full-size, extends to ~4ft</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Music Stand,"Stands, Strings & Accessories, folding stand, music stand, new, orchestral stand, wire frame desk",true,Title,Default Title,,,,,GEAR-15,1800,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-15-01.jpg,1,"Orchestral Music Stand — Black Wire-Frame Desk, Lyre Clip — Bob Music Store",false,"Orchestral Music Stand — Black Wire-Frame Desk, Lyre Clip","A full-size folding orchestral music stand in matte black metal, with an open wire-frame/lattice desk and a lyre-shaped cutout — Bob Music Store, Beirut.",g,active
orchestral-music-stand-perforated-desk,"Orchestral Music Stand — Black Perforated Desk, Folding Tripod","<p>A full-size folding orchestral music stand in matte black metal, with a solid perforated desk (a 6x9 grid of round holes for sound-friendly airflow) and a tilt-adjust wingnut. Folding tripod legs allow compact storage; extends to approximately 4ft.</p><ul>
<li>Solid perforated desk (6x9 hole grid) for airflow</li>
<li>Folding tripod legs, compact for storage/transport</li>
<li>Tilt-adjust wingnut</li>
<li>Full-size, extends to ~4ft</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Music Stand,"Stands, Strings & Accessories, folding stand, music stand, new, orchestral stand, perforated desk",true,Title,Default Title,,,,,GEAR-14,1800,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-14-01.jpg,1,"Orchestral Music Stand — Black Perforated Desk, Folding Tripod — Bob Music Store",false,"Orchestral Music Stand — Black Perforated Desk, Folding T…","A full-size folding orchestral music stand in matte black metal, with a solid perforated desk (a 6x9 grid of round holes — Bob Music Store, Beirut.",g,active
mpm-music-ps15-sustain-pedal,mpm Music PS15 Keyboard Sustain Pedal (Yamaha/Akai/Roland/Kawai Compatible),"<p>An mpm Music PS15 normally-closed sustain footswitch pedal, compatible with Yamaha, Akai, Roland, Kawai, and other keyboard brands. Comes in its original pink/magenta and black box; the box's top corner is torn/worn but the pedal itself is in usable condition.</p><ul>
<li>Model: mpm Music PS15</li>
<li>Normally-closed sustain footswitch</li>
<li>Compatible with Yamaha, Akai, Roland, Kawai, and other keyboards</li>
<li>Box top corner torn/worn (pedal per stock condition)</li>
</ul>",mpm Music,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Accessory,"Cases & Care, Strings & Accessories, accessory, footswitch, keyboard pedal, mpm Music, PS15, sustain pedal, used",true,Title,Default Title,,,,,GEAR-13,400,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-13-01.jpg,1,mpm Music PS15 Keyboard Sustain Pedal (Yamaha/Akai/Roland/Kawai Compatible) — Bob Music Store,false,mpm Music PS15 Keyboard Sustain Pedal (Yamaha/Akai/Roland…,"An mpm Music PS15 normally-closed sustain footswitch pedal, compatible with Yamaha, Akai, Roland, Kawai, and other keyboard — Bob Music Store, Beirut.",g,active
mpm-music-ps15-sustain-pedal,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-13-90.jpg,2,mpm Music PS15 Keyboard Sustain Pedal (Yamaha/Akai/Roland/Kawai Compatible) — view 2,,,,,
carlsbro-on-tour-spares-hardware-pack,"Carlsbro ""On Tour Spares"" Amp/Cabinet Hardware Pack","<p>A Carlsbro ""On Tour Spares"" hardware pack for amp/cabinet repairs, including 5-6 grey knurled T-nut/wing-nut fasteners, a small rectangular corner bracket, and one bolt/screw. Sealed in a stapled poly bag on the original red header card.</p><ul>
<li>Brand: Carlsbro (UK amp brand)</li>
<li>5-6 grey knurled T-nut/wing-nut fasteners</li>
<li>Small rectangular corner bracket</li>
<li>One bolt/screw included</li>
</ul>",Carlsbro,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Accessory,"Cases & Care, Strings & Accessories, accessory, amp parts, cabinet hardware, Carlsbro, hardware pack, new, spares",true,Title,Default Title,,,,,GEAR-12,400,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-12-01.jpg,1,"Carlsbro ""On Tour Spares"" Amp/Cabinet Hardware Pack — Bob Music Store",false,"Carlsbro ""On Tour Spares"" Amp/Cabinet Hardware Pack","A Carlsbro ""On Tour Spares"" hardware pack for amp/cabinet repairs, including 5-6 grey knurled T-nut/wing-nut fasteners, a small — Bob Music Store, Beirut.",g,active
folding-stand-leg-frame-parts-incomplete,Folding Instrument/Guitar Stand Leg Frame — Parts Only (Incomplete),"<p>An A-frame folding leg assembly, likely from an instrument or guitar stand, with polished chrome/stainless legs, black rubber foot caps, and a curved hook rod with a wingnut fastener. This photo shows only the leg-frame — no neck-cradle or arms are visible, so it's unclear whether the full stand is included.</p><ul>
<li>Chrome/stainless A-frame folding legs with black rubber foot caps</li>
<li>Curved hook rod with wingnut fastener</li>
<li>Scuffed chrome finish (used)</li>
<li>Neck-cradle/arms not shown — completeness unconfirmed, see flag</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Accessory,"Cases & Care, Strings & Accessories, accessory, guitar stand, incomplete, instrument stand, needs confirmation, stand parts, used",true,Title,Default Title,,,,,GEAR-11,400,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-11-01.jpg,1,Folding Instrument/Guitar Stand Leg Frame — Parts Only (Incomplete) — Bob Music Store,false,Folding Instrument/Guitar Stand Leg Frame — Parts Only (I…,"An A-frame folding leg assembly, likely from an instrument or guitar stand, with polished chrome/stainless legs, black rubber — Bob Music Store, Beirut.",g,active
hand-crank-wooden-ratchet-noisemaker-unconfirmed,Hand-Crank Wooden Mechanism — Possible Ratchet/Noisemaker (Identity Unconfirmed),"<p>A hand-crank wooden mechanism with a fluted wooden cog roller, chrome crank handle, and a large wingnut table-clamp, mounted on a natural wood box body with a cut slot/tongue and a small brass ID plate at the base. The exact identity and function of this item are uncertain from the photo alone — it resembles a crank-operated ratchet/noisemaker, but this is an educated guess only.</p><ul>
<li>Fluted wooden cog roller with chrome crank handle</li>
<li>Large wingnut table-clamp mount</li>
<li>Natural wood box body with cut slot/tongue and small brass ID plate</li>
<li>Function/identity NOT confirmed — see flag before listing</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Accessory,"Cases & Care, Strings & Accessories, accessory, hand-crank, needs identification, noisemaker, ratchet, uncertain, vintage look",true,Title,Default Title,,,,,GEAR-10,400,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-10-01.jpg,1,Hand-Crank Wooden Mechanism — Possible Ratchet/Noisemaker (Identity Unconfirmed) — Bob Music Store,false,Hand-Crank Wooden Mechanism — Possible Ratchet/Noisemaker…,"A hand-crank wooden mechanism with a fluted wooden cog roller, chrome crank handle, and a large wingnut table-clamp, mounted — Bob Music Store, Beirut.",g,active
swan-melodica-carrying-case-32-key,Swan 32-Key Melodica Carrying Case (Case Only — No Melodica),"<p>A Swan-brand carrying case/bag sized for a 32-key melodica, in steel/navy blue polyester fabric with a circular logo patch featuring a cartoon bird playing a keyboard/horn. Includes an olive canvas shoulder strap with brass rivets. Approximately 45-50cm long.</p><ul>
<li>Fits a 32-key melodica</li>
<li>Steel/navy blue polyester fabric with branded logo patch</li>
<li>Olive canvas shoulder strap with brass rivets</li>
<li>IMPORTANT: case/bag only — no melodica instrument included</li>
</ul>",Swan,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Case,"Cases & Care, Strings & Accessories, accessory, carrying bag, case, melodica case, no instrument included, Swan",true,Title,Default Title,,,,,GEAR-09,900,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-09-01.jpg,1,Swan 32-Key Melodica Carrying Case (Case Only — No Melodica) — Bob Music Store,false,Swan 32-Key Melodica Carrying Case (Case Only — No Melodica),"A Swan-brand carrying case/bag sized for a 32-key melodica, in steel/navy blue polyester fabric with a circular logo patch — Bob Music Store, Beirut.",g,active
guitar-strap-tribal-aztec-print,Guitar Strap — Brown Tribal/Aztec Geometric Print,"<p>An adjustable guitar strap in a brown/chocolate base with an orange, cream, and dark-green tribal/Aztec-style geometric print — triangles, dotted rows, and circular sun motifs. Sold loose with a black plastic cam-lock buckle.</p><ul>
<li>Brown/chocolate base with tribal/Aztec geometric print</li>
<li>Orange, cream, and dark-green pattern colors</li>
<li>Black plastic cam-lock buckle</li>
</ul>",Unbranded,Arts & Entertainment > Hobbies & Creative Arts > Musical Instrument & Orchestra Accessories,Guitar Strap,"Straps, Strings & Accessories, accessory, aztec print, guitar strap, new, novelty strap, tribal print, unpackaged",true,Title,Default Title,,,,,GEAR-08,220,shopify,1,deny,manual,0.00,,true,true,,https://cdn.jsdelivr.net/gh/Divercitieslb/bob-music-store@main/import/images/GEAR-08-01.jpg,1,Guitar Strap — Brown Tribal/Aztec Geometric Print — Bob Music Store,false,Guitar Strap — Brown Tribal/Aztec Geometric Print,"An adjustable guitar strap in a brown/chocolate base with an orange, cream, and dark-green tribal/Aztec-style geometric print  — Bob Music Store, Beirut.",g,active
